service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6574,0,0,0,0,0,0,1,20190811,20190901
7744,1,1,1,1,0,0,0,20190807,20190829
7984,0,0,0,0,1,0,0,20190809,20190830
8173,1,1,0,1,1,0,0,20190808,20190830
9933,1,1,1,1,1,0,0,20190807,20190830
9934,1,1,1,1,1,0,0,20190807,20190830
10086,1,1,1,1,1,0,0,20190807,20190830
10088,1,1,1,1,1,0,0,20190807,20190830
11110,0,0,0,0,0,1,0,20190810,20190831
11111,0,0,0,0,0,1,0,20190810,20190831
11162,0,0,0,0,0,1,0,20190810,20190831
12024,0,0,0,0,0,1,1,20190810,20190901
13057,1,1,1,1,1,1,0,20190807,20190831
13102,1,1,1,1,1,1,0,20190807,20190831
13223,1,1,1,1,1,1,1,20190807,20190901
13405,1,1,1,1,1,1,1,20190807,20190901
