stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
StopArea:8711610,,GARE DE MEAUX,,48.957042694,2.8739719391,,,1,,,0,
StopArea:93:1501,,Bas d'Orgemont,,48.955177307,2.8705320358,,,1,,,0,
StopArea:93:1519,,Bel Air,,48.952907562,2.8682229519,,,1,,,0,
StopArea:93:1530,,Parmentier,,48.948295593,2.8659310341,,,1,,,0,
StopArea:93:1507,,Sucrerie,,48.946212769,2.8666670322,,,1,,,0,
StopArea:93:1509,,Avenue du Parc,,48.943840027,2.864166975,,,1,,,0,
StopArea:93:1521,,Rue Bouchard,,48.942409515,2.8610548973,,,1,,,0,
StopArea:93:1523,,Rue de Lagny,,48.940139771,2.858494997,,,1,,,0,
StopArea:93:1527,,Marronniers,,48.940349579,2.8616080284,,,1,,,0,
StopArea:93:1529,,Les Cottages,,48.941772461,2.8632450104,,,1,,,0,
StopArea:93:1537,,Souterrain,,48.956630707,2.8726079464,,,1,,,0,
StopArea:47:14805,,Les Bruyères,,48.918968201,2.9118540287,,,1,,,0,
StopArea:47:3768,,Collot,,48.919826508,2.9085021019,,,1,,,0,
StopArea:47:3781,,La Roseraie,,48.922714233,2.9063251019,,,1,,,0,
StopArea:93:1706,,Galliéni,,48.925983429,2.9050440788,,,1,,,0,
StopArea:47:3770,,Clos Benoît,,48.925708771,2.899946928,,,1,,,0,
StopArea:47:3782,,Mairie,,48.928752899,2.8971660137,,,1,,,0,
StopArea:47:3764,,Château,,48.932853699,2.8901629448,,,1,,,0,
StopArea:47:14448,,Bordes Rouges,,48.93605423,2.8875780106,,,1,,,0,
StopArea:93:1720,,Marcel Pagnol,,48.939804077,2.8854899406,,,1,,,0,
StopArea:52:3777,,La Croix,,48.942367554,2.8841080666,,,1,,,0,
StopArea:52:14705,,St Pères,,48.945545197,2.8805980682,,,1,,,0,
StopArea:93:1286,,Cornillon,,48.952056885,2.8796019554,,,1,,,0,
StopArea:47:3194,,Médiathèque,,48.954795837,2.8791360855,,,1,,,0,
StopArea:47:14607,,Poste Allende,,48.95741272,2.8824748993,,,1,,,0,
StopArea:47:3103,,Cité Administrative,,48.955852509,2.8891460896,,,1,,,0,
StopArea:93:1316,,08 Mai 1945 / 11 Novembre 1918,,48.95362854,2.8936669827,,,1,,,0,
StopArea:47:14895,,Octroi,,48.957546234,2.8942410946,,,1,,,0,
StopArea:47:3151,,Grosse Pierre,,48.962547302,2.8974070549,,,1,,,0,
StopArea:47:3172,,La Corniche,,48.967628479,2.9003999233,,,1,,,0,
StopArea:93:1239,,Musée de la Grande Guerre,,48.973007202,2.9035880566,,,1,,,0,
StopArea:47:14831,,Hauts de Chantereine,,48.973049164,2.9036018848,,,1,,,0,
StopArea:93:1277,,Vergers du Roy,,48.975696564,2.8969140053,,,1,,,0,
StopArea:93:1127,,Belvédère,,48.972892761,2.899545908,,,1,,,0,
StopArea:47:3198,,Marronniers,,48.956417084,2.8879311085,,,1,,,0,
StopArea:93:1225,,Les Platanes,,48.950408936,2.9286251068,,,1,,,0,
StopArea:93:1147,,Charles Tellier,,48.951755524,2.9303328991,,,1,,,0,
StopArea:93:1230,,Louis Fournier,,48.952640533,2.930036068,,,1,,,0,
StopArea:93:1176,,Graham Bell,,48.955631256,2.9314410686,,,1,,,0,
StopArea:93:1282,,Zone Artisanale,,48.957305908,2.9312560558,,,1,,,0,
StopArea:93:1228,,Lotissement,,48.957138062,2.9255149364,,,1,,,0,
StopArea:93:1371,,Georges Claude Quai 2,,48.956867218,2.9141509533,,,1,,,0,
StopArea:93:1376,,Chevalier Bayard,,48.954883575,2.9114949703,,,1,,,0,
StopArea:93:1101,,Adam de la Halle,,48.954452515,2.9068369865,,,1,,,0,
StopArea:93:1170,,Ecluse St Lazare,,48.95500946,2.9023809433,,,1,,,0,
StopArea:93:1142,,Chappe,,48.951389313,2.8999130726,,,1,,,0,
StopArea:93:1359,,Roland Garros,,48.94593811,2.8992528915,,,1,,,0,
StopArea:93:1154,,Collège Dunant,,48.946334839,2.8968560696,,,1,,,0,
StopArea:93:1273,,Saint Jean de Bosco,,48.949172974,2.8942120075,,,1,,,0,
StopArea:93:1309,,Henri Moissan,,48.958789825,2.8745949268,,,1,,,0,
StopArea:93:1538,,Cité Technique,,48.955673218,2.8651061058,,,1,,,0,
StopArea:93:1402,,Les Saisons de Meaux,,48.958683014,2.8617930412,,,1,,,0,
StopArea:93:1255,,Pierris,,48.950458527,2.893871069,,,1,,,0,
StopArea:93:1117,,Bâtiment F,,48.94562149,2.9020059109,,,1,,,0,
StopArea:93:1367,,Georges Claude Quai de dépose,,48.956768036,2.9166069031,,,1,,,0,
StopArea:47:3171,,Jean Vilar,,48.954872131,2.8942019939,,,1,,,0,
StopArea:93:1249,,Parc Chenonceaux,,48.951629639,2.9045410156,,,1,,,0,
StopArea:93:1163,,Cornouailles,,48.951583862,2.9088120461,,,1,,,0,
StopArea:93:1264,,Rond Point,,48.951126099,2.9121630192,,,1,,,0,
StopArea:93:1120,,Bazin,,48.951087952,2.9174780846,,,1,,,0,
StopArea:93:1128,,Berry,,48.952926636,2.9216330051,,,1,,,0,
StopArea:93:1119,,Centre Commercial Baudelaire,,48.954452515,2.9161849022,,,1,,,0,
StopArea:93:1369,,Georges Claude Quai 1,,48.956859589,2.9141380787,,,1,,,0,
StopArea:93:1137,,Centre Commercial,,48.954391479,2.915719986,,,1,,,0,
StopArea:93:1109,,Artois,,48.951816559,2.9087729454,,,1,,,0,
StopArea:93:1107,,Anjou,,48.951824188,2.9034240246,,,1,,,0,
StopArea:47:3167,,Bouvin,,48.952613831,2.9113929272,,,1,,,0,
StopArea:93:1158,,Concorde,,48.948604584,2.9105460644,,,1,,,0,
StopArea:93:1144,,Charcot,,48.946678162,2.9061510563,,,1,,,0,
StopArea:93:1152,,Claudel,,48.947502136,2.9003338814,,,1,,,0,
StopArea:93:1252,,Paul Barennes,,48.951984406,2.8969790936,,,1,,,0,
StopArea:6:435,,Henri IV,,48.959339142,2.883054018,,,1,,,0,
StopArea:93:1212,,Jean rose,,48.962001801,2.8795289993,,,1,,,0,
StopArea:47:3217,,Pinteville,,48.961986542,2.8755259514,,,1,,,0,
StopArea:93:1451,,Bonne Etoile,,48.971935272,2.8691079617,,,1,,,0,
StopArea:93:1475,,Jean Renoir,,48.975456238,2.8712599277,,,1,,,0,
StopArea:47:1769,,Collège George Sand,,48.979560852,2.8741519451,,,1,,,0,
StopArea:93:1453,,Bourg,,48.978996277,2.8771131039,,,1,,,0,
StopArea:93:1463,,Fayottes,,48.976818085,2.8740050793,,,1,,,0,
StopArea:93:1467,,Les Vignes,,48.977542877,2.8726611137,,,1,,,0,
StopArea:93:1469,,Place Rostand,,48.976512909,2.8701241016,,,1,,,0,
StopArea:47:1766,,Centre Commercial,,48.975894928,2.8657469749,,,1,,,0,
StopArea:93:1262,,Prairie de Châage,,48.963119507,2.8731319904,,,1,,,0,
StopArea:93:1250,,Parc Frot,,48.966133118,2.8731629848,,,1,,,0,
StopArea:93:1122,,Beauséjour,,48.968971252,2.8784749508,,,1,,,0,
StopArea:93:1138,,Châage,,48.969577789,2.8822898865,,,1,,,0,
StopArea:93:1271,,Saint Faron,,48.969200134,2.8853778839,,,1,,,0,
StopArea:93:1211,,Hôpital,,48.967292786,2.8841159344,,,1,,,0,
StopArea:93:2220,,Centre,,48.942867279,2.9873280525,,,1,,,0,
StopArea:93:2074,,Brinches,,48.93755722,2.9631009102,,,1,,,0,
StopArea:93:2076,,Rue de Brinches,,48.938941956,2.940294981,,,1,,,0,
StopArea:93:2072,,Centre,,48.937404633,2.9367640018,,,1,,,0,
StopArea:93:2070,,Les Côteaux,,48.940822601,2.9373829365,,,1,,,0,
StopArea:93:1905,,Collège,,48.951385498,2.9426839352,,,1,,,0,
StopArea:93:1915,,Mairie,,48.95867157,2.9473071098,,,1,,,0,
StopArea:47:5084,,Eglise,,48.957698822,2.946377039,,,1,,,0,
StopArea:47:3229,,Route de Poincy,,48.957450867,2.9363720417,,,1,,,0,
StopArea:93:1374,,Georges Claude Quai 4,,48.95703125,2.9181520939,,,1,,,0,
StopArea:93:1373,,Georges Claude Quai 3,,48.956874847,2.9182729721,,,1,,,0,
StopArea:47:5091,,Parc,,48.957759857,2.9497799873,,,1,,,0,
