from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:63:13,StopPoint:63:14,2,252
StopPoint:63:14,StopPoint:63:13,2,252
StopPoint:63:31,StopPoint:63:32,2,252
StopPoint:63:32,StopPoint:63:31,2,252
StopPoint:63:35,StopPoint:63:36,2,252
StopPoint:63:36,StopPoint:63:35,2,252
StopPoint:63:205,StopPoint:63:206,2,252
StopPoint:63:206,StopPoint:63:205,2,252
StopPoint:63:45,StopPoint:63:46,2,252
StopPoint:63:46,StopPoint:63:45,2,252
StopPoint:63:105,StopPoint:63:106,2,252
StopPoint:63:106,StopPoint:63:105,2,252
StopPoint:63:101,StopPoint:63:102,2,252
StopPoint:63:102,StopPoint:63:101,2,252
StopPoint:63:103,StopPoint:63:104,2,252
StopPoint:63:104,StopPoint:63:103,2,252
StopPoint:63:147,StopPoint:63:148,2,60
StopPoint:63:148,StopPoint:63:147,2,60
StopPoint:63:95,StopPoint:63:96,2,252
StopPoint:63:96,StopPoint:63:95,2,252
StopPoint:63:97,StopPoint:63:98,2,252
StopPoint:63:98,StopPoint:63:97,2,252
StopPoint:63:1,StopPoint:63:2,2,252
StopPoint:63:2,StopPoint:63:1,2,252
StopPoint:63:49,StopPoint:63:50,2,252
StopPoint:63:50,StopPoint:63:49,2,252
StopPoint:63:121,StopPoint:63:122,2,252
StopPoint:63:122,StopPoint:63:121,2,252
StopPoint:63:119,StopPoint:63:120,2,252
StopPoint:63:120,StopPoint:63:119,2,252
StopPoint:63:117,StopPoint:63:118,2,252
StopPoint:63:118,StopPoint:63:117,2,252
StopPoint:63:175,StopPoint:63:176,2,252
StopPoint:63:176,StopPoint:63:175,2,252
StopPoint:63:29,StopPoint:63:30,2,252
StopPoint:63:30,StopPoint:63:29,2,252
StopPoint:63:125,StopPoint:63:126,2,252
StopPoint:63:126,StopPoint:63:125,2,252
StopPoint:63:127,StopPoint:63:128,2,252
StopPoint:63:128,StopPoint:63:127,2,252
StopPoint:63:129,StopPoint:63:130,2,252
StopPoint:63:130,StopPoint:63:129,2,252
StopPoint:63:67,StopPoint:63:68,2,252
StopPoint:63:68,StopPoint:63:67,2,252
StopPoint:63:27,StopPoint:63:28,2,252
StopPoint:63:28,StopPoint:63:27,2,252
StopPoint:63:91,StopPoint:63:92,2,252
StopPoint:63:92,StopPoint:63:91,2,252
StopPoint:63:135,StopPoint:63:136,2,252
StopPoint:63:136,StopPoint:63:135,2,252
StopPoint:63:133,StopPoint:63:134,2,252
StopPoint:63:134,StopPoint:63:133,2,252
StopPoint:63:131,StopPoint:63:132,2,252
StopPoint:63:132,StopPoint:63:131,2,252
StopPoint:63:23,StopPoint:63:24,2,252
StopPoint:63:24,StopPoint:63:23,2,252
StopPoint:63:21,StopPoint:63:22,2,252
StopPoint:63:22,StopPoint:63:21,2,252
StopPoint:63:41,StopPoint:63:42,2,252
StopPoint:63:42,StopPoint:63:41,2,252
StopPoint:63:39,StopPoint:63:40,2,252
StopPoint:63:40,StopPoint:63:39,2,252
StopPoint:63:77,StopPoint:63:78,2,252
StopPoint:63:78,StopPoint:63:77,2,252
StopPoint:63:75,StopPoint:63:76,2,60
StopPoint:63:76,StopPoint:63:75,2,60
StopPoint:63:79,StopPoint:63:80,2,252
StopPoint:63:80,StopPoint:63:79,2,252
StopPoint:63:201,StopPoint:63:202,2,252
StopPoint:63:202,StopPoint:63:201,2,252
StopPoint:63:73,StopPoint:63:74,2,252
StopPoint:63:74,StopPoint:63:73,2,252
StopPoint:63:55,StopPoint:63:56,2,252
StopPoint:63:56,StopPoint:63:55,2,252
StopPoint:63:222,StopPoint:63:223,2,105
StopPoint:63:223,StopPoint:63:222,2,109
StopPoint:63:225,StopPoint:63:226,2,60
StopPoint:63:226,StopPoint:63:225,2,60
StopPoint:63:15,StopPoint:63:16,2,252
StopPoint:63:16,StopPoint:63:15,2,252
StopPoint:63:17,StopPoint:63:18,2,252
StopPoint:63:18,StopPoint:63:17,2,252
StopPoint:63:19,StopPoint:63:20,2,252
StopPoint:63:20,StopPoint:63:19,2,252
StopPoint:63:51,StopPoint:63:52,2,252
StopPoint:63:52,StopPoint:63:51,2,252
StopPoint:63:10,StopPoint:63:9,2,252
StopPoint:63:9,StopPoint:63:10,2,252
